Clock|INPUT 1                 |INPUT 2                 |OpCode      |OUTPUT                  |
-----+------------------------+------------------------+------------+------------------------+
0    |0000000000000000 (    0)|0000000000000000 (    0)|1111 (RESET)|0000000000000000 (    0)|
0    |0000000000000000 (    0)|0000000000000001 (    1)|0000 (NO-OP)|0000000000000000 (    0)|
0    |0000000000000001 (    1)|0000000000000001 (    1)|0001 (  ADD)|0000000000000010 (    2)|
0    |0000000000000011 (    3)|0000000000000001 (    1)|0010 (  SUB)|0000000000000010 (    2)|
0    |0000000000000011 (    3)|0000000000000001 (    1)|0000 (NO-OP)|0000000000000010 (    2)|
0    |0000000000000010 (    2)|0000000000000010 (    2)|0011 ( MULT)|0000000000000100 (    4)|
0    |0000000000001000 (    8)|0000000000000010 (    2)|0100 (  DIV)|0000000000000100 (    4)|
0    |0000000000001111 (   15)|0000000000001001 (    9)|0101 (  AND)|0000000000001001 (    9)|
0    |0000000000001010 (   10)|0000000000000101 (    5)|0110 (   OR)|0000000000001111 (   15)|
0    |0000110011001100 ( 3276)|1111111111111111 (65535)|0000 (NO-OP)|0000000000001111 (   15)|
0    |0000000000001011 (   11)|0000000000001101 (   13)|0111 (  XOR)|0000000000000110 (    6)|
0    |1111111111111111 (65535)|1111111111111111 (65535)|1000 (  NOT)|0000000000000000 (    0)|
0    |0000100000000000 ( 2048)|0000000000000000 (    0)|1111 (RESET)|0000000000000000 (    0)|
0    |0000111100001111 ( 3855)|1111000011110000 (61680)|0101 (  AND)|0000000000000000 (    0)|
0    |0000000000001010 (   10)|0000000000000101 (    5)|0001 (  ADD)|0000000000001111 (   15)|
0    |0000000000001010 (   10)|0000000000000000 (    0)|1000 (  NOT)|1111111111110101 (65525)|
0    |0000000000000011 (    3)|0000000000000100 (    4)|0001 (  ADD)|0000000000000111 (    7)|
0    |1010101010101010 (43690)|0000111100001111 ( 3855)|0000 (NO-OP)|0000000000000111 (    7)|
0    |1010101010101010 (43690)|0000111100001111 ( 3855)|1111 (RESET)|0000000000000000 (    0)|
** VVP Stop(0) **
** Flushing output streams.
** Current simulation time is 196 ticks.
> ^C** Continue **
